Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
MetX,16,3765,0.988231360912323,IPR048260,"Cytochrome b/b6, C-terminal domain, eukaryotic/bacterial",5.820616245269775,0.40558284521102905,5.415033340454102,3.8430676460266113,6.128739889841287e-23
MetX,16,3765,0.9621121287345886,IPR000390,Small drug/metabolite transporter protein family,3.363085985183716,0.418883740901947,2.944202184677124,3.005129337310791,0.032400842756032944
MetX,16,3765,0.9813200831413269,IPR000715,"Glycosyl transferase, family 4",5.2014970779418945,0.41416823863983154,4.787328720092773,3.6506032943725586,9.4159569030694e-09
MetX,16,3765,0.9693480730056763,IPR001133,NADH-ubiquinone oxidoreductase chain 4L/K,3.965731620788574,0.41792532801628113,3.5478062629699707,3.2462353706359863,0.002031872281804681
MetX,16,3765,0.9513082504272461,IPR001694,"NADH:ubiquinone oxidoreductase, subunit 1/F420H2 oxidoreductase subunit H",2.402642011642456,0.4194481074810028,1.9831938743591309,2.5180230140686035,0.0016643187263980508
MetX,16,3765,0.9818918704986572,IPR003524,Phospho-N-acetylmuramoyl-pentapeptide transferase,5.285757064819336,0.4154965877532959,4.870260238647461,3.6691668033599854,6.710083198413486e-06
MetX,16,3765,0.9823260307312012,IPR003691,Fluoride-specific ion channel FluC,5.325639247894287,0.4164277911186218,4.9092116355896,3.6767818927764893,0.0005502499989233911
MetX,16,3765,0.9953863024711609,IPR003824,Undecaprenyl-diphosphatase UppP,7.337740421295166,0.4128255844116211,6.924914836883545,4.151696681976318,1.2992400115763303e-06
MetX,16,3765,0.9827812910079956,IPR011701,Major facilitator superfamily,5.581894874572754,0.4078580141067505,5.174036979675293,3.774580717086792,2.0477839633197314e-19
MetX,16,3765,0.9885124564170837,IPR030689,Cytochrome b,5.862380027770996,0.40764564275741577,5.4547343254089355,3.8460636138916016,4.706387817751882e-19
MetX,16,3765,0.9693480730056763,IPR039428,NADH-ubiquinone oxidoreductase chain 4L/Mnh complex subunit C1-like,3.965731620788574,0.41792532801628113,3.5478062629699707,3.2462353706359863,0.002031872281804681
MetX,16,3765,0.9871079921722412,IPR016174,"Di-haem cytochrome, transmembrane",5.688910484313965,0.4059791564941406,5.282931327819824,3.8086392879486084,8.367783991969258e-23
