Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,12,492,0.99932461977005,IPR014014,"RNA helicase, DEAD-box type, Q motif",8.575011253356934,0.25534677505493164,8.319664001464844,5.069552421569824,4.7158263442220633e-29
2pkea,12,492,0.9902952909469604,IPR014018,SecA motor DEAD,4.137077331542969,0.2737381160259247,3.8633391857147217,3.9176909923553467,6.057690698883789e-13
2pkea,12,492,0.966802716255188,IPR019489,"Clp ATPase, C-terminal",2.137502670288086,0.27677038311958313,1.8607323169708252,2.9491126537323,3.3921433370553977e-13
2pkea,12,492,0.9836986064910889,IPR020598,"Ribosomal RNA adenine methylase transferase, N-terminal",3.1526925563812256,0.2762787938117981,2.8764138221740723,3.5123355388641357,4.523212915330532e-09
2pkea,12,492,0.9973604083061218,IPR025313,"ATP-dependent rRNA helicase SPB4-like, C-terminal extension",7.51677131652832,0.2745119333267212,7.242259502410889,4.775119781494141,0.007603699341416359
2pkea,12,492,0.9558658599853516,IPR033248,"Transketolase, C-terminal domain",1.8640319108963013,0.2788791358470917,1.5851527452468872,2.7406628131866455,0.025533057749271393
2pkea,12,492,0.9830085635185242,IPR041569,"AAA ATPase, AAA+ lid domain",3.3161895275115967,0.27696263790130615,3.03922700881958,3.5817110538482666,1.1321327292534988e-05
2pkea,12,492,0.9902952909469604,IPR044722,"SecA, C-terminal helicase domain",4.137077331542969,0.2737381160259247,3.8633391857147217,3.9176909923553467,6.057690698883789e-13
2pkea,12,492,0.9902952909469604,IPR000185,Protein translocase subunit SecA,4.137077331542969,0.2737381160259247,3.8633391857147217,3.9176909923553467,6.057690698883789e-13
2pkea,12,492,0.9615423083305359,IPR001576,Phosphoglycerate kinase,1.9166853427886963,0.2781757116317749,1.6385096311569214,2.7844932079315186,1.205474518428673e-06
2pkea,12,492,0.9836986064910889,IPR001737,Ribosomal RNA adenine methyltransferase KsgA/Erm,3.1526925563812256,0.2762787938117981,2.8764138221740723,3.5123355388641357,4.523212915330532e-09
2pkea,12,492,0.9730259776115417,IPR002043,Uracil-DNA glycosylase family 1,2.473090410232544,0.27767127752304077,2.1954190731048584,3.154813289642334,3.0505054837703938e-06
2pkea,12,492,0.9584228992462158,IPR002143,Large ribosomal subunit protein uL1,1.824444055557251,0.27829575538635254,1.5461483001708984,2.712714195251465,1.8208920664619654e-06
2pkea,12,492,0.9607110619544983,IPR002903,Ribosomal RNA small subunit methyltransferase H,1.9289766550064087,0.27782905101776123,1.6511476039886475,2.7955143451690674,1.2476841781960957e-08
2pkea,12,492,0.9733233451843262,IPR003358,"tRNA (guanine-N-7) methyltransferase, Trmb type",2.4306883811950684,0.2781532406806946,2.1525352001190186,3.127361297607422,0.00041834134026430547
2pkea,12,492,0.950180172920227,IPR003682,rRNA small subunit methyltransferase G,1.660058617591858,0.2789246439933777,1.381134033203125,2.573235034942627,0.004493582062423229
2pkea,12,492,0.9910141229629517,IPR005758,UDP-N-acetylmuramate--L-alanine ligase,4.637213706970215,0.2763810157775879,4.360832691192627,4.068475723266602,0.0009127656230702996
2pkea,12,492,0.9944766759872437,IPR005762,UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD,5.458760738372803,0.2740841805934906,5.184676647186279,4.315829753875732,1.9447897159352578e-07
2pkea,12,492,0.957298755645752,IPR005878,"Large ribosomal subunit protein uL1, bacterial-type",1.7847493886947632,0.2784982919692993,1.5062510967254639,2.679929256439209,2.1293270037858747e-05
2pkea,12,492,0.9593645334243774,IPR006138,"NADH-ubiquinone oxidoreductase, 20 Kd subunit",2.1419503688812256,0.27769580483436584,1.8642545938491821,2.947295665740967,1.5671419362206507e-07
